"","AnimalID","TestSite","Mouse.Strain","Genotype","Sex","Age.Months","Task","Day"
"238","lw354a416","Site1","APP-PS1","C57BL6","Male","10","dPAL Acquisition 3",1
"239","lw355a417","Site1","APP-PS1","C57BL6","Male","10","dPAL Acquisition 3",1
"240","lw356a418","Site1","APP-PS1","C57BL6","Male","10","dPAL Acquisition 3",1
"241","lw357a419","Site1","APP-PS1","C57BL6","Male","10","dPAL Acquisition 3",1
"242","lw358a420","Site1","APP-PS1","C57BL6","Male","10","dPAL Acquisition 3",1
"243","lw359a421","Site1","APP-PS1","C57BL6","Male","10","dPAL Acquisition 3",1
"244","lw360a422","Site1","APP-PS1","C57BL6","Male","10","dPAL Acquisition 3",1
"245","lw361a423","Site1","APP-PS1","C57BL6","Male","10","dPAL Acquisition 3",1
"246","lw362a424","Site1","APP-PS1","C57BL6","Male","10","dPAL Acquisition 3",1
"247","lw363a425","Site1","APP-PS1","C57BL6","Male","10","dPAL Acquisition 3",1
"248","lw364a426","Site1","APP-PS1","C57BL6","Male","10","dPAL Acquisition 3",1
"249","lw365a427","Site1","APP-PS1","C57BL6","Male","10","dPAL Acquisition 3",1
"250","gt104f216","Site2","5xFAD","5xFAD","Female","10","sPAL Acquisition 1",1
"251","gt104f217","Site2","5xFAD","5xFAD","Female","10","sPAL Acquisition 1",1
"252","gt104f219","Site2","5xFAD","5xFAD","Female","10","sPAL Acquisition 1",1
"253","gt105f221","Site2","5xFAD","5xFAD","Female","10","sPAL Acquisition 1",1
"254","gt105f222","Site2","5xFAD","5xFAD","Female","10","sPAL Acquisition 1",1
"255","gt105f223","Site2","5xFAD","5xFAD","Female","10","sPAL Acquisition 1",1
"256","gt106f224","Site2","5xFAD","5xFAD","Female","10","sPAL Acquisition 1",1
"257","gt106f225","Site2","5xFAD","5xFAD","Female","10","sPAL Acquisition 1",1
"258","gt106f226","Site2","5xFAD","5xFAD","Female","10","sPAL Acquisition 1",1
"259","gt107f229","Site2","5xFAD","5xFAD","Female","10","sPAL Acquisition 1",1
