 Animal ID, Site, Mouse strain, Genotype, Gender,SessionType
 gw11f022, UOG, 5FAD, w,M,2
 gw11f022, UOG, 5FAD, w,M,2
 gw11f022, UOG, 5FAD, w,M,2
 gw11f022, UOG, 5FAD, w,M,2
 gw11f022, UOG, 5FAD, w,M,2
 gw11f022, UOG, 5FAD, w,M,2
 gw11f022, UOG, 5FAD, w,M,2
 gw11x016, UOG, 3XTG, w,M,2
 gw11x016, UOG, 3XTG, w,M,2
 gw11x016, UOG, 3XTG, w,M,2
 gw11x016, UOG, 3XTG, w,M,2
 gw11x016, UOG, 3XTG, w,M,2
 gw11x016, UOG, 3XTG, w,M,2
 gw11x016, UOG, 3XTG, w,M,2
 gw11x016, UOG, 3XTG, w,M,2
 gw11x016, UOG, 3XTG, w,M,2
 gw11x016, UOG, 3XTG, w,M,2
 gw11x016, UOG, 3XTG, w,M,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a236, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw128a237, UOG, APPPS1, w,F,2
 gw129a238, UOG, APPPS1, w,F,2
 gw129a238, UOG, APPPS1, w,F,2
 gw129a238, UOG, APPPS1, w,F,2
 gw129a238, UOG, APPPS1, w,F,2
 gw129a238, UOG, APPPS1, w,F,2
